position_x,position_y,position_z,attitude_x,attitude_y,attitude_z,attitude_w,input_throttle,input_yaw,input_pitch,input_roll,timestamp
560.72516,10.844036,320.19522,-0.25970563,-0.7639309,0.27387214,-0.5234086,0.5969711,0.0004882887,0.0004882887,0.0043945983,604.52997
562.75635,10.95068,319.50937,-0.2597085,-0.7637639,0.2740011,-0.5235836,0.5925689,-0.006347753,0.0004882887,-0.0004882887,604.63
564.77795,11.039273,318.83902,-0.26052463,-0.76242626,0.27365595,-0.5253053,0.58719766,-0.018066682,0.0004882887,0.07180896,604.73
566.789,11.108451,318.18365,-0.27398014,-0.75454754,0.2647298,-0.5343323,0.5915923,-0.050308995,0.0004882887,0.16560617,604.82996
568.79456,11.16003,317.54712,-0.29666415,-0.7393406,0.24870275,-0.55092007,0.6033188,-0.07083238,-0.0043945983,0.2232395,604.93
570.8049,11.199477,316.9371,-0.32313505,-0.72095,0.2292978,-0.56853974,0.60820174,-0.058121614,0.0004882887,0.21347372,605.02997
572.82465,11.230591,316.3657,-0.34781218,-0.7025374,0.21009238,-0.5842339,0.6414206,-0.0698558,-0.025879301,0.21933319,605.13
574.8649,11.263933,315.8463,-0.36857924,-0.6815361,0.18619417,-0.60414374,0.67024493,-0.08841077,-0.068879224,0.2339971,605.23
576.93756,11.309561,315.3937,-0.38957527,-0.6569842,0.15518205,-0.62651527,0.67219806,-0.08841077,-0.09329366,0.27405202,605.32996
579.0455,11.368359,315.02243,-0.4136639,-0.6269396,0.11579859,-0.64993817,0.6614557,-0.09622339,-0.09622339,0.3043412,605.43
581.1792,11.432406,314.74643,-0.4397692,-0.5909688,0.07326989,-0.67230237,0.61748683,-0.106981,-0.09231708,0.3326772,605.52997
583.31244,11.48074,314.5696,-0.46828496,-0.54616195,0.024954524,-0.6941136,0.5813382,-0.12162966,-0.116746776,0.37566185,605.63
585.434,11.499172,314.49722,-0.49270678,-0.49144667,-0.03364395,-0.71734816,0.6204166,-0.14215305,-0.19589533,0.3893492,605.73
587.5559,11.503068,314.57224,-0.4993076,-0.42979333,-0.09702772,-0.7460264,0.70151067,-0.16755933,-0.2799115,0.36198977,605.82996
589.6703,11.518513,314.85745,-0.4929128,-0.3642356,-0.15863429,-0.7740831,0.697116,-0.16267644,-0.27307546,0.35318533,605.93
591.73926,11.545718,315.36694,-0.48404643,-0.29865846,-0.2172074,-0.7932989,0.64679945,-0.15191883,-0.25255206,0.35220873,606.02997
593.72644,11.564727,316.0714,-0.47293326,-0.23165466,-0.27195323,-0.80542636,0.56374454,-0.17830168,-0.2623331,0.34341955,606.13
595.6155,11.550968,316.92502,-0.4498104,-0.14907324,-0.32787633,-0.817279,0.6272526,-0.22519265,-0.42354468,0.4352636,606.23
597.3567,11.518924,317.9517,-0.39133686,-0.033615876,-0.40132037,-0.82744634,0.7933547,-0.23106737,-0.5085374,0.4675059,606.32996
598.8102,11.517123,319.1952,-0.30739912,0.0913075,-0.46110114,-0.8273781,0.90424967,-0.2427863,-0.5407797,0.37566185,606.43
599.6666,11.569509,320.31424,-0.23666312,0.18000452,-0.4766221,-0.8272969,0.9169451,-0.2339971,-0.49877164,0.21640345,606.50287
600.401,11.78018,322.066,-0.15179998,0.2866457,-0.47403836,-0.81858337,0.8314565,-0.21835661,-0.4264744,0.24376288,606.63
600.593,12.068957,323.48895,-0.08553794,0.3678497,-0.48686543,-0.7876115,0.7103075,-0.24180973,-0.3443961,0.34830242,606.73
600.5209,12.407591,324.81696,-0.046108518,0.42918825,-0.51915824,-0.7376627,0.59941256,-0.24180973,-0.07669184,0.26037994,606.82996
600.2681,12.739673,326.03528,-0.051203698,0.46534464,-0.54153746,-0.6982619,0.54420537,-0.2339971,0.0004882887,0.13824674,606.93
599.86786,13.039448,327.1504,-0.07021241,0.4948912,-0.5451405,-0.67303395,0.5134279,-0.22519265,0.0004882887,-0.0004882887,607.02997
599.33887,13.297523,328.17212,-0.09567416,0.52263355,-0.5386946,-0.6538415,0.49047837,-0.23106737,0.0004882887,-0.13824674,607.13
598.7004,13.506804,329.11243,-0.13589677,0.54573864,-0.51184326,-0.6493981,0.4895018,-0.19394217,0.0004882887,-0.22030976,607.23
597.95966,13.670368,329.98236,-0.17139167,0.55708283,-0.48182777,-0.6543131,0.4709392,-0.09622339,0.0004882887,-0.22421607,607.32996
597.1335,13.78525,330.7952,-0.20037709,0.5560257,-0.4515545,-0.6684183,0.42843518,-0.034683757,0.0043945983,-0.26428625,607.43
596.2491,13.841522,331.56497,-0.23223037,0.5461846,-0.41582075,-0.68908966,0.39326313,-0.0043945983,0.01904326,-0.2838178,607.52997
595.32654,13.832768,332.3033,-0.26125643,0.5328102,-0.38162863,-0.7086735,0.3766537,0.0004882887,0.0053711757,-0.19784848,607.63
594.37445,13.758446,333.0195,-0.26974082,0.5284901,-0.37062877,-0.7145435,0.3766537,0.0004882887,0.01123064,-0.0004882887,607.73
593.39545,13.620453,333.71545,-0.276252,0.52501065,-0.3775492,-0.71098894,0.38544288,0.0004882887,0.042496376,0.072785534,607.82996
592.3838,13.422512,334.39157,-0.27100006,0.52762,-0.39104655,-0.70374626,0.47631037,0.0004882887,0.008300908,0.10112154,607.93
591.3045,13.188241,335.04388,-0.2673787,0.529374,-0.39670086,-0.70064276,0.5915923,0.0004882887,0.0004882887,-0.0004882887,608.02997
590.1016,12.956546,335.66742,-0.26744798,0.52926636,-0.3967065,-0.70069444,0.68197143,0.0004882887,0.0004882887,-0.0004882887,608.13
588.7385,12.75722,336.2571,-0.27605495,0.52475584,-0.38531235,-0.70707804,0.6902724,0.0004882887,0.0004882887,-0.25255206,608.23
587.2321,12.5889,336.81882,-0.2968358,0.5138843,-0.3569902,-0.7213664,0.6756161,-0.0073243305,0.0004882887,-0.13043413,608.32996
585.60736,12.445634,337.3697,-0.30588463,0.5094932,-0.3445013,-0.7267532,0.665362,-0.008300908,0.0004882887,-0.087434195,608.43
583.8847,12.318451,337.91556,-0.311758,0.5092628,-0.33681664,-0.72801983,0.65803003,-0.0327306,0.0004882887,-0.024902724,608.52997
582.0821,12.200646,338.4577,-0.31641746,0.51284206,-0.33142176,-0.72597015,0.665362,-0.055191882,0.0004882887,-0.04054322,608.63
580.20605,12.092289,338.9971,-0.32198665,0.5179722,-0.32148194,-0.7243472,0.71128404,-0.054215305,0.0004882887,-0.08450446,608.73
578.2473,12.006599,339.53857,-0.3357581,0.5159771,-0.30286038,-0.7275368,0.7225147,-0.039566644,0.0004882887,-0.1646296,608.82996
576.2145,11.945349,340.09064,-0.3526928,0.5108815,-0.2793521,-0.7325096,0.70053405,-0.042496376,0.0004882887,-0.16267644,608.93
574.13324,11.897697,340.66074,-0.36506832,0.5077289,-0.26039025,-0.73561776,0.7029755,-0.0327306,-0.0327306,-0.057145037,609.02997
572.0151,11.861014,341.2551,-0.36246002,0.5114622,-0.25358477,-0.736698,0.70492864,-0.014160372,-0.024902724,-0.0004882887,609.13
569.8669,11.835432,341.8719,-0.36239815,0.5132134,-0.25238582,-0.73592186,0.66829175,-0.0073243305,0.0004882887,-0.0004882887,609.23
567.7122,11.8033085,342.50162,-0.36253878,0.51328343,-0.25235075,-0.73581576,0.61309224,0.0004882887,0.0004882887,-0.0004882887,609.32996
565.5779,11.74272,343.1338,-0.3626028,0.51318854,-0.25237966,-0.7358405,0.5603265,0.0004882887,0.0004882887,-0.0004882887,609.43
563.478,11.641062,343.76236,-0.36269453,0.51308054,-0.25240642,-0.7358614,0.5495842,0.0004882887,0.0004882887,-0.0004882887,609.52997
561.4115,11.497934,344.387,-0.36277384,0.5129765,-0.25242242,-0.7358894,0.5505608,0.0004882887,0.0004882887,-0.0004882887,609.63
559.3715,11.317952,345.00967,-0.36287004,0.5128659,-0.25244582,-0.735911,0.5647288,0.0004882887,0.0004882887,-0.0004882887,609.73
557.34534,11.110694,345.63443,-0.35982493,0.5138277,-0.25028333,-0.7374723,0.62578773,0.0004882887,-0.09427024,-0.0004882887,609.82996
555.3043,10.901427,346.27136,-0.34423116,0.5188976,-0.23935609,-0.74495566,0.68197143,0.0004882887,-0.13824674,-0.0004882887,609.93
553.2238,10.722803,346.92944,-0.32929143,0.52349824,-0.2289209,-0.7517393,0.70492864,0.0004882887,-0.10014496,-0.0004882887,610.02997
